Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor,Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Local Outlier Factor (LOF),Minimum Covariance Determinant (MCD),One-class SVM (OCSVM),Principal Component Analysis (PCA),naive_Average,naive_Maximization,naive_Aom,naive_Moa,Fixed SPEC Average_6,Fixed SPEC Maximization_6,Fixed SPEC Aom_6,Fixed SPEC Moa_6,Generic SPEC Average_6,Generic SPEC Maximization_6,Generic SPEC Aom_6,Generic SPEC Moa_6,NormalizedCut Average_6,NormalizedCut Maximization_6,NormalizedCut Aom_6,NormalizedCut Moa_6,Lasso Average_6,Lasso Maximization_6,Lasso Aom_6,Lasso Moa_6,WKMeans Average_6,WKMeans Maximization_6,WKMeans Aom_6,WKMeans Moa_6
-0.3571,-0.4643,-0.5,-0.5714,-0.5714,-0.5,-0.4643,-0.4286,-0.5,-0.5,-0.5357,-0.5357,-0.5,-0.5357,-0.5714,-0.5714,-0.5357,-0.6071,-0.5357,-0.5714,-0.5357,-0.5714,-0.5714,-0.5714,-0.5714,-0.5714,-0.5,-0.5,-0.5,-0.5,-0.5714,-0.5714,-0.5714,-0.5714
-0.1875,-0.4844,-0.1406,-0.4688,-0.5,-0.2812,-0.125,-0.3906,-0.5938,-0.6875,-0.3281,-0.3906,-0.3906,-0.4375,-0.4375,-0.4688,-0.3906,-0.3906,-0.2656,-0.3594,-0.2656,-0.4062,-0.4375,-0.4844,-0.4375,-0.4688,-0.4688,-0.4844,-0.4688,-0.5156,-0.2969,-0.375,-0.4062,-0.375
-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.8214,-0.8036,-0.75,-0.3393,-0.6607,-0.8393,-0.75,-0.8571,-0.7143,-0.5893,-0.75,-0.5893,-0.7143,-0.7143,-0.7857,-0.6964,-0.7321,-0.75,-0.7857,-0.6964,-0.75,-0.75,-0.7321,-0.5893,-0.6964,-0.6964,-0.6607,-0.5714,-0.6071,-0.625,-0.6964,-0.5893,-0.6429,-0.6786
-0.275,-0.175,-0.4,-0.125,-0.05,-0.3,-0.325,-0.075,-0.1,-0.05,-0.2,-0.225,-0.25,-0.2,-0.225,-0.225,-0.225,-0.225,-0.25,-0.325,-0.325,-0.325,-0.075,-0.075,-0.075,-0.075,-0.075,-0.125,-0.15,-0.1,-0.075,-0.125,-0.125,-0.175
-0.4,-0.6,-0.6,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.6,-0.8,-0.6,-0.8,-0.6,-0.8,-0.6,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.8,-0.8,-0.6,-0.6,-0.8,-0.8,-0.8,-0.6,-0.8,-0.8,-0.8
-0.3562,-0.4007,-0.3664,-0.1199,-0.2979,-0.4144,-0.339,-0.3973,-0.3801,-0.3767,-0.3904,-0.3938,-0.3973,-0.411,-0.3767,-0.3938,-0.3836,-0.3938,-0.3014,-0.2226,-0.2808,-0.2603,-0.3767,-0.3938,-0.4075,-0.411,-0.3904,-0.3562,-0.3767,-0.363,-0.3493,-0.3288,-0.3493,-0.3562
-0.0333,-1.0,-0.1667,-0.9667,-0.9333,-0.2333,-0.1333,-0.9667,-1.0,-1.0,-0.8,-0.8667,-0.9667,-0.9333,-0.5,-0.8,-0.6667,-0.4,-0.8333,-0.8333,-0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4333,-0.6333,-0.7333,-0.8
-0.0161,-0.0,-0.0484,-0.2581,-0.0161,-0.0,-0.0484,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0161,-0.0,-0.0161,-0.0,-0.0161,-0.0161,-0.0484,-0.1129,-0.0484,-0.0484,-0.0,-0.0,-0.0161,-0.0,-0.0,-0.0323,-0.0,-0.0,-0.0161,-0.0323,-0.0161,-0.0
-0.0308,-0.3077,-0.0462,-0.2615,-0.2769,-0.0462,-0.0462,-0.0615,-0.2923,-0.3385,-0.2308,-0.1077,-0.2308,-0.2,-0.1385,-0.1231,-0.2154,-0.2923,-0.0462,-0.0923,-0.0769,-0.1077,-0.2615,-0.1231,-0.2462,-0.2769,-0.2769,-0.2154,-0.2769,-0.2615,-0.1077,-0.1231,-0.1231,-0.2154
